,text,question_score,adjusted_question_score,from_bot,_created
517,What's next?,,0.0,True,2016-08-05 14:51:11
518,tell me a joke,25.0,100.0,False,2016-08-05 14:51:11
519,Looks like I don't yet know the answer to this.,,,True,2016-08-09 23:16:11
520,hi,38.0,100.0,False,2016-08-09 23:16:11
521,Looks like I don't yet know the answer to this.,,,True,2016-08-09 23:17:55
522,hi,38.0,100.0,False,2016-08-09 23:17:55
523,Looks like I don't yet know the answer to this.,,,True,2016-08-09 23:18:42
524,hi dude,38.0,100.0,False,2016-08-09 23:18:42
525,Looks like I don't yet know the answer to this.,,,True,2016-08-09 23:22:44
526,hi,38.0,100.0,False,2016-08-09 23:22:44
527,Looks like I don't yet know the answer to this.,,,True,2016-08-09 23:23:00
528,hi dude,38.0,100.0,False,2016-08-09 23:23:00
529,こんにちは,,,True,2016-08-09 23:24:48
530,hi,100.0,100.0,False,2016-08-09 23:24:48
531,Howdy.,,,True,2016-08-09 23:24:55
532,hallo,80.0,80.0,False,2016-08-09 23:24:55
533,Do you really want to know?,,,True,2016-08-09 23:25:47
534,howdy,100.0,100.0,False,2016-08-09 23:25:47
535,Looks like I don't yet know the answer to this.,,,True,2016-08-09 23:25:55
536,Do you really want to know?,41.0,100.0,False,2016-08-09 23:25:55
537,Looks like I don't yet know the answer to this.,,,True,2016-08-09 23:26:08
538,I don't know either dude.,38.0,100.0,False,2016-08-09 23:26:08
539,Looks like I can't figure that out right now...,,,True,2016-08-09 23:26:21
540,Who are you?,92.0,92.0,False,2016-08-09 23:26:21
541,Hey hey hey.,,,True,2016-08-09 23:38:08
542,hi,100.0,100.0,False,2016-08-09 23:38:08
543,Hey hey hey.,,,True,2016-08-09 23:45:47
544,hello,100.0,100.0,False,2016-08-09 23:45:47
545,I feel smarter. You?,,,True,2016-08-09 23:45:55
546,what's up dude?,75.0,100.0,False,2016-08-09 23:45:55
547,Looks like I don't yet know the answer to this.,,,True,2016-08-09 23:47:22
548,What color is the dailymotion logo?,38.0,100.0,False,2016-08-09 23:47:22
549,Looks like I don't yet know the answer to this.,,,True,2016-08-09 23:48:28
550,who is bill clinton?,32.0,100.0,False,2016-08-09 23:48:28
551,Looks like I don't yet know the answer to this.,,,True,2016-08-09 23:48:44
552,who is Barack Obama?,39.0,100.0,False,2016-08-09 23:48:44
553,POTUS (president of the united states).,,,True,2016-08-09 23:50:15
554,who is barack obama?,90.0,90.0,False,2016-08-09 23:50:15
555,Looks like I can't figure that out right now...,,,True,2016-08-10 00:01:23
556,Who are you?,92.0,92.0,False,2016-08-10 00:01:23
557,Looks like I don't yet know the answer to this.,,,True,2016-08-10 00:03:21
558,How do you eat your carrots?,49.0,100.0,False,2016-08-10 00:03:21
559,I like them raw with hummus thanks.,,,True,2016-08-10 00:04:44
560,How do you eat your carrots?,100.0,100.0,False,2016-08-10 00:04:44
561,POTUS (president of the united states).,,,True,2016-08-10 00:10:36
562,Who is barrack Obama?,88.0,88.0,False,2016-08-10 00:10:36
563,Looks like I don't yet know the answer to this.,,,True,2016-08-10 01:30:04
564,Who is your daddy?,40.0,100.0,False,2016-08-10 01:30:04
565,My father.,,,True,2016-08-10 01:30:18
566,Who is Sam?,76.0,100.0,False,2016-08-10 01:30:18
567,Nowhere. And everywhere.,,,True,2016-08-10 01:31:29
568,Where are you from?,92.0,92.0,False,2016-08-10 01:31:29
569,Looks like I don't yet know the answer to this.,,,True,2016-08-10 01:40:13
570,But where were you born?,38.0,100.0,False,2016-08-10 01:40:13
571,Looks like I don't yet know the answer to this.,,,True,2016-08-10 01:51:41
572,Who is Carlotta ,22.0,100.0,False,2016-08-10 01:51:41
573,Looks like I don't yet know the answer to this.,,,True,2016-08-10 01:52:26
574,She is the queen,41.0,100.0,False,2016-08-10 01:52:26
575,Looks like I don't yet know the answer to this.,,,True,2016-08-10 01:52:34
576,And your mother ,27.0,100.0,False,2016-08-10 01:52:34
577,Looks like I don't yet know the answer to this.,,,True,2016-08-10 14:47:14
578,On what date are revenues paid out?,38.0,100.0,False,2016-08-10 14:47:14
579,Looks like I don't yet know the answer to this.,,,True,2016-08-10 14:48:27
580,Which day are revenues sent out Baily?,27.0,100.0,False,2016-08-10 14:48:27
581,Looks like I don't yet know the answer to this.,,,True,2016-08-10 14:49:38
582,Yo baily - how many users are watching my videos right now?,21.0,100.0,False,2016-08-10 14:49:38
583,Looks like I don't yet know the answer to this.,,,True,2016-08-10 14:51:39
584,Hey Baily what's the forecast for tonight?,41.0,100.0,False,2016-08-10 14:51:39
585,Looks like I don't yet know the answer to this.,,,True,2016-08-10 14:53:40
586,What's the forecast for next week?,47.0,100.0,False,2016-08-10 14:53:40
587,Looks like I don't yet know the answer to this.,,,True,2016-08-10 14:55:22
588,How now brown cow,35.0,94.0,False,2016-08-10 14:55:22
589,Looks like I can't figure that out right now...,,,True,2016-08-10 14:58:45
590,blah blah,100.0,100.0,False,2016-08-10 14:58:45
591,whatever,,,True,2016-08-10 14:59:48
592,how now brown cow,100.0,100.0,False,2016-08-10 14:59:48
593,Looks like I can't figure that out right now...,,,True,2016-08-10 15:00:40
